"_id","date","close","high","low","timestamp"
"ObjectId(""65d23fdb2ccc09d71cc01aa4"")","2024-02-18T18:35:23.082Z",48278.05,48278.05,48278.05,"2024-02-18T18:35:23.082Z"
"ObjectId(""65d23fdc2ccc09d71cc01aa6"")","2024-02-18T18:35:24.083Z",48278.05,48278.05,48278.05,"2024-02-18T18:35:24.083Z"
"ObjectId(""65d23fdd2ccc09d71cc01aa8"")","2024-02-18T18:35:25.151Z",48278.05,48278.05,48278.05,"2024-02-18T18:35:25.151Z"
"ObjectId(""65d23fde2ccc09d71cc01aaa"")","2024-02-18T18:35:26.177Z",48278.05,48278.05,48278.05,"2024-02-18T18:35:26.177Z"
"ObjectId(""65d23fdf2ccc09d71cc01aac"")","2024-02-18T18:35:27.081Z",48273.7,48273.7,48273.7,"2024-02-18T18:35:27.082Z"
"ObjectId(""65d23fe02ccc09d71cc01aae"")","2024-02-18T18:35:28.123Z",48273.7,48273.7,48273.7,"2024-02-18T18:35:28.124Z"
"ObjectId(""65d23fe12ccc09d71cc01ab0"")","2024-02-18T18:35:29.146Z",48273.7,48273.7,48273.7,"2024-02-18T18:35:29.146Z"
"ObjectId(""65d23fe22ccc09d71cc01ab2"")","2024-02-18T18:35:30.194Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:30.198Z"
"ObjectId(""65d23fe32ccc09d71cc01ab4"")","2024-02-18T18:35:31.094Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:31.094Z"
"ObjectId(""65d23fe42ccc09d71cc01ab6"")","2024-02-18T18:35:32.116Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:32.116Z"
"ObjectId(""65d23fe52ccc09d71cc01ab8"")","2024-02-18T18:35:33.140Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:33.141Z"
"ObjectId(""65d23fe62ccc09d71cc01aba"")","2024-02-18T18:35:34.164Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:34.164Z"
"ObjectId(""65d23fe72ccc09d71cc01abc"")","2024-02-18T18:35:35.082Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:35.082Z"
"ObjectId(""65d23fe82ccc09d71cc01abe"")","2024-02-18T18:35:36.109Z",48277.86,48277.86,48277.86,"2024-02-18T18:35:36.109Z"
"ObjectId(""65d23fe92ccc09d71cc01ac0"")","2024-02-18T18:35:37.133Z",48274.55,48274.55,48274.55,"2024-02-18T18:35:37.133Z"
"ObjectId(""65d23fea2ccc09d71cc01ac2"")","2024-02-18T18:35:38.081Z",48274.55,48274.55,48274.55,"2024-02-18T18:35:38.082Z"
"ObjectId(""65d23feb2ccc09d71cc01ac4"")","2024-02-18T18:35:39.191Z",48274.55,48274.55,48274.55,"2024-02-18T18:35:39.192Z"
"ObjectId(""65d23fec2ccc09d71cc01ac6"")","2024-02-18T18:35:40.110Z",48274.4,48274.4,48274.4,"2024-02-18T18:35:40.111Z"
"ObjectId(""65d23fed2ccc09d71cc01ac8"")","2024-02-18T18:35:41.081Z",48274.4,48274.4,48274.4,"2024-02-18T18:35:41.081Z"
